Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing

COUNTER-FLOW CERAMIC HEAT EXCHANGER ASSEMBLY AND METHOD,"A heat exchanger assembly embodiment includes a plurality of laminated ceramic tape layers (60) having at least one hole (62) surrounded by at least one tape remainder portion (64). The plurality of layers is arranged in a build direction defined parallel to a counter-flow plane. Each laminated ceramic tape layer is stacked and sintered to define a ceramic core section (12) integrally formed with a first ceramic manifold (26) and a second ceramic manifold (28). The ceramic core section of the assembly includes a plurality of spaced apart counter-flow plates stacked along a stacking direction normal to the counter-flow plane and the build direction, defining a plurality of flow passages parallel to the counter-flow plane. Each flow passage is in communication with the first manifold and the second manifold. A plurality of counter-flow fins (42) is disposed in at least one of the plurality of flow passages, between adjacent ones of the plurality of counter-flow plates (40).","EP3293478A1 2018-03-14
","HAMILTON SUNDSTRAND CORP
",12/07/2017,"US201615262888A 2016-09-12
","RANJAN RAM
WONG EVA
","F28F7/02
F28D9/00
F28F3/08
F28F9/02
F28F21/04
","F28F7/02
F28D9/0062
F28F3/08
F28F9/0221
F28F21/04
","EP3293478A1
",,3,

AVIATION VALVE AND GAS TURBINE ENGINE WITH SAME,A valve 110 and a heat exchanger apparatus 50 for a gas turbine engine 10 include a valve body 110 having a valve seat 124 and an actuation component 116 including a plate 118 formed from a set of metal layers and responsive to a change in at least one of a thermal condition and a pressure exerted thereon such that the plate 118 moves and the valve 110 moves between an opened and a closed position where a portion of the plate 118 engages with the valve seat 124.,"EP3273009A1 2018-01-24
","UNISON IND LLC
",18/07/2017,"US2018023906A1 2016-07-19
","KENWORTHY MICHAEL THOMAS
YANG YANZHE
JONNALAGADDA DATTU
TAJIRI GORDON
","F01D25/12
F02C7/18
F02K3/115
","F28F27/02
F01D25/12
F02C3/04
F02C7/14
F02C7/18
F02C7/185
F02C9/18
F02K3/115
F05D2260/213
F05D2300/505
F16K17/38
F16K31/002
F16K31/44
","EP3273009A1
US2018023906A1
CA2972452A1
JP2018013244A
",,1,

HEATING DEVICE AND MODULAR HEATING SYSTEM THAT CAN BE ASSEMBLED IN MODULAR FORM IN THE INSTALLATION STEP,"A liquid circulation heating device (1) for modular assembly in the installation step, comprises at least one body (2) provided with an inner chamber (3), in which a heating liquid circulates, and with a front plate (4), having an outer face (9) facing in use the space to heat and defining a first heat exchange surface (10); and connections (16) communicating with the chamber (3) and extending from the body (2); the front plate (4) delimits the chamber (3) at the front and has an inner face (8), opposite to the outer face (9) and facing the chamber (3) and wet by the heating liquid; and the connections (16) project from a rear plate (5), opposite to the front plate (4) and delimiting the chamber (3) at the back; and the connections (16) are substantially perpendicular to said rear plate (5).","WO2017212413A1 2017-12-14
","FONDITAL SPA
",07/06/2017,"ITUA20164166A 2016-06-07
","NIBOLI ORLANDO
","F28F3/04
F28D1/03
F28F3/12
F28F9/02
","F28D1/0308
F28D1/0316
F28D2021/0035
F28F3/048
F28F3/12
F28F9/028
","WO2017212413A1
",,5,

HIGH EFFICIENCY HEATING DEVICE,"A high efficiency heating device (1) has a body (2) comprising an inner chamber (3) in which a heating liquid circulates; connections (16) communicating with the chamber (3) and extending from the body (2); and a front plate (4) having an outer face (9) facing in use the space to heat and defining a main front heat exchange surface (10) of the device (1); the chamber (3) is delimited by a pair of main walls (24, 25) facing each other and by a closed loop perimeter edge (7) connecting the main walls (24, 25); the chamber (3) has a ratio between surface and volume, expressed in dm2 and dm3, respectively, greater than or equal to 23.","WO2017212415A1 2017-12-14
","FONDITAL SPA
",07/06/2017,"ITUA20164170A 2016-06-07
","NIBOLI ORLANDO
","F28F3/04
F28D1/03
F28D1/053
","F28D1/05358
F28D1/0308
F28D2021/0035
F28F3/04
","WO2017212415A1
",,5,

MODULAR ANNULAR HEAT EXCHANGER,"An annular duct including a modular annular heat exchanger for a gas turbine engine is provided, where the modular annular heat exchanger includes a plurality of radial modules in circumferentially adjacent arrangement. Each radial module includes a cooled fluid inlet plenum segment, a plurality of blades, and a cooled fluid outlet plenum segment. The plurality of blades is configured in circumferentially adjacent arrangement and defines an angular space that is conformal between each circumferentially adjacent blade. The cooled fluid inlet plenum segment, the plurality of blades, and the cooled fluid outlet plenum segment are in serial axial flow arrangement and define an internal cooled fluid flowpath and an external cooling fluid flowpath parallel to the internal cooled fluid flowpath. Each radial module further includes an inner annular ring segment and an outer annular ring segment. The inner annular ring segment and the outer annular ring segment define a plurality of blade retainers. The blade retainers define an axial, radial, and circumferential position of the blades, the cooled fluid inlet plenum segment, and the cooled fluid outlet plenum segment.","WO2018005886A1 2018-01-04
","GEN ELECTRIC
",29/06/2017,"US2018003076A1 2016-07-01
","MILLER BRANDON WAYNE
MOORE NICHOLAS TAYLOR
CERNY MATTEW ROBERT
","F01D9/04
F02C7/14
F28D9/00
","F01D25/12
F01D9/041
F01D9/042
F01D25/14
F02C7/14
F05D2250/38
F05D2260/208
F05D2260/213
F05D2260/22141
F28D1/0358
F28D9/0012
F28D2001/0273
F28D2021/0026
F28F9/0075
F28F9/02
","WO2018005886A1
US2018003076A1
",,1,

HEAT EXCHANGER WITH REMOVABLE CORE ASSEMBLY,"A heat exchanger (100) is having: a housing (120) having a first housing inlet (122), a second housing inlet (124), a first housing outlet (128), and a second housing outlet (126); and a core assembly (153) disposed within the housing (120) and removably connected to the housing (120), the core assembly (150) comprises: a first fluid passage (153) fluidly connecting the first housing inlet (122) to the first housing outlet (128) and a second fluid passage (163) fluidly connecting the second housing inlet (124) to the second housing outlet (126). The first fluid passage (153) is thermally connected to the second fluid passage (163).","EP3285040A1 2018-02-21
","HAMILTON SUNDSTRAND CORP
",26/07/2017,"US2018051941A1 2016-08-16
","PEACOS III FREDERICK
ARMY DONALD E
","F28F9/00
F28F9/007
F28F9/02
F28F9/04
F28F9/12
F28F9/26
","F28F9/26
F28D9/0025
F28D2021/0021
F28F9/00
F28F9/001
F28F9/002
F28F9/005
F28F9/007
F28F9/02
F28F9/0219
F28F9/0226
F28F9/04
F28F9/12
F28F2230/00
F28F2275/08
F28F2275/20
F28F2280/02
F28F2280/08
","EP3285040A1
US2018051941A1
",,1,

PLATE HEAT EXCHANGER MODULE FOR WHICH THE CHANNELS INTEGRATE AS INPUT A UNIFORM FLOW DISTRIBUTION ZONE AND A FLUID BIFURCATION ZONE,"The invention relates to a heat exchanger module with longitudinal axis (X) comprising a stack of plates (1, 2) defining at least two fluid circuits, at least a portion of the plates each comprising fluid circulation channels each delimited, at least in part, by a groove. According to the invention, a communication is produced between the channels within a same plate and between all the plates of a same circuit, in a feed or pre-collector zone, with a succession of channel groupings, two-by-two, in the form of bifurcations.","WO2018024765A1 2018-02-08
","COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES
",02/08/2017,"FR3054879A1 2016-08-03
","MOLLA ALEXANDRE
JEANNINGROS XAVIER
GALATI CHIARA
CACHON LIONEL
","F28F9/02
F28D9/00
F28F3/08
G21C15/00
","F28F9/0275
F28D9/0081
F28D2021/0054
F28F3/08
F28F2210/02
G21C15/00
","FR3054879A1
WO2018024765A1
",,5,

"METHOD FOR PRODUCING AMMONIA, AND AMMONIA SYNTHESIS CONVERTER","The invention relates to a method for producing ammonia in an ammonia synthesis converter, wherein first a reactant gas flow is conducted through a first catalyst bed (16), in which a reaction of the reactant gases occurs, wherein a heat exchanger (17) is associated with the first catalyst bed, and thereafter the process gas flow is conducted through a second catalyst bed (20), in which a further reaction of the reactant gases occurs, wherein a further heat exchanger (19) is associated with the second catalyst bed, wherein the reactant gas flow is fed to the ammonia synthesis converter in at least two partial flows via inlets (11, 18) that are separated from each other, in order to influence the temperature of the process gas flows in the ammonia synthesis converter, and wherein at least one partial flow of the reactant gases is made to flow through one of the heat exchangers as a cooling medium in order to effect heat exchange with a process gas flow heated by the reaction and flowing through the heat exchanger, and wherein according to the invention the process gas flow flowing out of the second catalyst bed (20) is then conducted through a third catalyst bed (26). The invention further relates to an ammonia synthesis converter (10) that is used in the method mentioned above. Space-saving plate heat exchangers are preferably used, which require a smaller volume at the given heat rate and thus make it possible to use the freed volume for additional catalysts and thus to increase the production.","WO2018029081A1 2018-02-15
","THYSSENKRUPP IND SOLUTIONS AG
THYSSENKRUPP AG
",03/08/2017,"DE102016114710A1 2016-08-09
DE102016114711A1 2016-08-09
DE102016114713A1 2016-08-09
DE102016221967A 
","GORVAL EVGENI
JOHANNING JOACHIM
MICHEL REINHARD
","C01C1/04
B01J8/04
B01J19/24
F28D9/00
","C01C1/0417
B01J8/0415
B01J8/0496
B01J19/248
B01J2208/0015
B01J2208/0053
F28D9/0006
","WO2018029081A1
",,1,

SYNTHESIS DEVICE AND METHOD FOR PRODUCING A PRODUCT,"The invention relates to a synthesis device, in particular an ammonia synthesis converter, the synthesis device (13) comprising the following components: a) a pressure vessel (14), which comprises an inlet (15) and an outlet (16) for a fluid; b) at least one catalyst bed (9), which is located inside the pressure vessel (14); c) and at least one heat exchanger (7, 8), the heat exchanger (7, 8) being arranged in the flow path of the fluid between the inlet (15) of the pressure vessel (14) and the catalyst bed (9) such that the fluid flowing into the catalyst bed (9) is heated by the fluid flowing out of the catalyst bed (9) and the heat exchanger also being in the form of a plate heat exchanger (7, 8).","WO2018029082A1 2018-02-15
","THYSSENKRUPP IND SOLUTIONS AG
THYSSENKRUPP AG
",03/08/2017,"DE102016114713A1 2016-08-09
","GORVAL EVGENI
JOHANNING JOACHIM
MICHEL REINHARD
","C01C1/04
B01J8/04
B01J19/24
F28D9/00
","C01C1/0417
B01J8/0415
B01J8/0496
B01J19/248
B01J2208/0015
B01J2208/0053
F28D9/0006
","WO2018029082A1
DE102016114713A1
",,1,

SYNTHESIS DEVICE AND METHOD FOR PRODUCING A PRODUCT,"The invention relates to a synthesis device, in particular an ammonia synthesis converter, in which at least one plate heat exchanger is used as a heat exchanger (7, 7') and is located in a pressure vessel (14) above a first catalyst bed (9). The heat exchanger (7, 7') comprises a plate stack consisting of a plurality of, for example, circular-ring-shaped or circular-segment-shaped plates which are arranged parallel to one another about a common longitudinal axis, wherein there are first flow channels for a first fluid, which run between the plates in the transverse direction or in the radial direction. The heat exchanger also comprises a flow pipe for a second fluid, said pipe running along the longitudinal axis in such a manner that the plates surround the flow pipe concentrically.","WO2018029083A1 2018-02-15
","THYSSENKRUPP IND SOLUTIONS AG
THYSSENKRUPP AG
",03/08/2017,"DE102016114711A1 2016-08-09
","GORVAL EVGENI
JOHANNING JOACHIM
MICHEL REINHARD
","C01C1/04
B01J8/04
B01J19/24
","C01C1/0417
B01J8/0496
B01J19/248
B01J2208/0015
B01J2208/0053
","WO2018029083A1
DE102016114711A1
",,1,

"PLATE HEAT EXCHANGER, SYNTHESIS DEVICE, AND METHOD FOR PRODUCING A PRODUCT","The invention relates to a plate heat exchanger (7) having a plurality of plates (20), wherein a permeable intermediate space is formed between each pair of adjacent plates (20), wherein permeable intermediate spaces of a first group (5) are in fluid communication with a common first fluid duct (1) extending perpendicularly to the plates, wherein the intermediate spaces of the first group (5) are sealed off in such a way that a first fluid is prevented from flowing in and/or out in a direction parallel to the plates (20), and wherein permeable intermediate spaces of a second group (6) have lateral inflow openings (4) in order to enable a second fluid to flow into the intermediate spaces of the second group (6) from an inflow direction arranged parallel to the plates.","WO2018029084A1 2018-02-15
","THYSSENKRUPP IND SOLUTIONS AG
THYSSENKRUPP AG
",03/08/2017,"DE102016114710A1 2016-08-09
","GORVAL EVGENI
JOHANNING JOACHIM
MICHEL REINHARD
","F28F3/08
